Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7114,0.7625,29.98,14.96
10,0.3214,0.4455,33.84,14.49
15,0.0759,0.3681,36.08,14.49
20,0.0077,0.1554,36.50,14.44
25,0.0012,0.0827,36.64,14.51
30,0.0007,0.0594,36.69,14.50
35,0.0005,0.0387,36.63,14.50
40,0.0003,0.0323,36.70,14.49
45,0.0003,0.0242,36.69,14.55
50,0.0002,0.0199,36.70,14.59
55,0.0002,0.0193,36.68,14.46
60,0.0002,0.0147,36.67,14.54
65,0.0001,0.0133,36.66,14.58
70,0.0001,0.0115,36.65,14.48
75,0.0001,0.0120,36.64,14.53
80,0.0001,0.0131,36.64,14.52
85,0.0001,0.0105,36.62,14.51
90,0.0001,0.0118,36.65,14.54
95,0.0001,0.0122,36.65,14.59
100,0.0001,0.0086,36.64,14.53
