Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.6972,0.7518,29.17,8.01
10,0.3168,0.5133,34.35,8.20
15,0.0711,0.4088,36.30,8.04
20,0.0133,0.2729,36.51,8.22
25,0.0040,0.1192,36.73,8.15
30,0.0007,0.1393,36.77,8.24
35,0.0005,0.0858,36.75,8.17
40,0.0003,0.0668,36.75,8.15
45,0.0003,0.0824,36.69,8.28
50,0.0002,0.0305,36.73,8.28
55,0.0002,0.0352,36.78,8.18
60,0.0002,0.0317,36.75,8.25
65,0.0002,0.0299,36.78,8.23
70,0.0001,0.0308,36.75,8.15
75,0.0001,0.0176,36.74,8.14
80,0.0001,0.0220,36.75,8.11
85,0.0001,0.0235,36.77,8.17
90,0.0001,0.0184,36.75,8.14
95,0.0001,0.0303,36.77,8.23
100,0.0001,0.0164,36.75,8.20
