Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7152,0.7113,28.75,31.49
10,0.3268,0.4325,33.94,31.87
15,0.0654,0.3518,35.55,31.60
20,0.0114,0.1789,36.29,31.82
25,0.0024,0.1529,36.44,31.41
30,0.0006,0.0667,36.46,32.06
35,0.0004,0.0450,36.47,33.12
40,0.0003,0.0440,36.46,31.46
45,0.0003,0.0314,36.47,31.58
50,0.0002,0.0234,36.45,31.83
55,0.0002,0.0242,36.44,31.74
60,0.0002,0.0181,36.44,31.83
65,0.0001,0.0190,36.44,31.68
70,0.0001,0.0232,36.44,31.55
75,0.0001,0.0135,36.47,31.72
80,0.0001,0.0138,36.47,31.79
85,0.0001,0.0140,36.48,32.04
90,0.0001,0.0162,36.49,31.95
95,0.0001,0.0119,36.47,32.00
100,0.0001,0.0127,36.45,14.55
