Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.6767,0.0000,30.95,0.00
10,0.2843,0.0000,35.18,0.00
15,0.0513,0.0000,36.79,0.00
20,0.0163,0.0000,37.49,0.00
25,0.0018,0.0000,37.06,0.00
30,0.0007,0.0000,37.02,0.00
35,0.0003,0.0000,37.11,0.00
40,0.0002,0.0000,37.10,0.00
45,0.0002,0.0000,37.12,0.00
50,0.0002,0.0000,37.11,0.00
55,0.0001,0.0000,37.14,0.00
60,0.0001,0.0000,37.13,0.00
65,0.0001,0.0000,37.12,0.00
70,0.0001,0.0000,37.12,0.00
75,0.0001,0.0000,37.13,0.00
80,0.0001,0.0000,37.13,0.00
85,0.0001,0.0000,37.11,0.00
90,0.0001,0.0000,37.11,0.00
95,0.0001,0.0000,37.10,0.00
100,0.0001,0.0000,37.10,0.00
