Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7092,0.5652,30.42,7.65
10,0.3062,0.3311,34.10,7.68
15,0.0598,0.2403,35.98,7.67
20,0.0149,0.3674,36.81,7.88
25,0.0018,0.1332,36.81,7.88
30,0.0006,0.0602,36.81,7.88
35,0.0005,0.0711,36.79,7.88
40,0.0003,0.0431,36.86,7.86
45,0.0003,0.0271,36.83,7.84
50,0.0002,0.0231,36.80,7.89
55,0.0002,0.0239,36.83,7.68
60,0.0002,0.0212,36.85,7.68
65,0.0001,0.0182,36.81,7.83
70,0.0001,0.0159,36.82,7.83
75,0.0001,0.0282,36.84,7.69
80,0.0001,0.0185,36.82,7.70
85,0.0001,0.0107,36.82,7.67
90,0.0001,0.0134,36.84,7.70
95,0.0001,0.0163,36.81,7.68
100,0.0001,0.0089,36.83,7.68
