Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7075,3.3830,32.12,0.00
10,0.3457,4.3180,36.29,0.00
15,0.1191,6.5041,38.21,0.00
20,0.0707,6.1755,38.91,0.00
25,0.0319,5.6401,38.78,0.00
30,0.0191,4.4846,38.10,0.00
35,0.0183,4.8024,38.49,0.00
40,0.0155,4.5679,38.86,0.00
45,0.0132,4.4125,39.13,0.00
50,0.0131,3.9821,39.33,0.00
55,0.0153,3.5256,39.13,0.00
60,0.0096,4.2396,40.14,0.00
65,0.0129,3.9045,39.94,0.00
70,0.0090,3.6579,40.31,0.00
75,0.0097,3.3535,40.79,0.00
80,0.0080,2.9415,40.90,0.00
85,0.0093,3.2693,41.05,0.00
90,0.0084,3.2075,41.30,0.00
95,0.0098,2.9071,41.33,0.00
100,0.0081,2.8478,41.68,0.00
