1.0 4.0
Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,1.0561,7.5110,20.61,9.13
10,0.6542,1.8872,26.35,13.32
15,0.3182,0.6906,27.94,14.69
20,0.1634,0.2266,27.32,14.72
25,0.0769,0.1731,28.93,15.92
30,0.0514,0.2997,29.06,14.95
35,0.0385,0.1232,29.09,15.61
40,0.0096,0.1191,29.05,15.14
45,0.0265,0.1946,28.78,14.55
50,0.0020,0.0649,29.17,14.65
55,0.0022,0.0547,29.16,14.93
60,0.0119,0.0996,29.16,15.48
65,0.0058,0.0623,29.06,16.15
70,0.0014,0.0596,29.14,15.98
75,0.0008,0.0398,29.12,15.10
80,0.0008,0.0469,29.12,15.29
85,0.0006,0.0303,29.12,14.80
90,0.0005,0.0288,29.12,14.90
95,0.0009,0.0347,29.13,15.17
100,0.0004,0.0264,29.19,15.68
