Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7205,4.1599,31.01,0.00
10,0.3538,4.7035,35.97,0.00
15,0.1219,6.5795,37.03,0.00
20,0.0559,6.8588,38.79,0.00
25,0.0343,6.2004,38.03,0.00
30,0.0233,5.7787,37.60,0.00
35,0.0228,4.8428,38.29,0.00
40,0.0177,5.0336,38.19,0.00
45,0.0168,4.1625,38.53,0.00
50,0.0138,4.0063,38.58,0.00
55,0.0164,3.6047,38.59,0.00
60,0.0101,3.9521,38.96,0.00
65,0.0104,3.9760,39.37,0.00
70,0.0095,3.8302,39.51,0.00
75,0.0092,3.7478,39.47,0.00
80,0.0091,3.8474,39.80,0.00
85,0.0078,3.4374,39.85,0.00
90,0.0075,3.5041,40.53,0.00
95,0.0086,3.0927,40.64,0.00
100,0.0067,3.0213,40.80,0.00
