Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.8547,3.1817,33.54,0.00
10,0.4537,3.5987,38.97,0.00
15,0.1396,6.4020,40.69,0.00
20,0.0562,5.1545,41.50,0.00
25,0.0454,4.8044,41.53,0.00
30,0.0216,4.5798,41.74,0.00
35,0.0191,4.3213,41.95,0.00
40,0.0176,4.3891,42.13,0.00
45,0.0182,4.1680,42.75,0.00
50,0.0140,3.5797,42.86,0.00
55,0.0123,4.0490,43.20,0.00
60,0.0148,3.3632,43.42,0.00
65,0.0094,3.5015,43.99,0.00
70,0.0103,3.1103,44.46,0.00
75,0.0092,3.0537,44.97,0.00
80,0.0080,2.8600,45.43,0.00
85,0.0086,2.9026,45.66,0.00
90,0.0091,2.6163,45.98,0.00
95,0.0095,2.6528,46.65,0.00
100,0.0108,2.6646,46.34,0.00
