Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7057,3.9775,33.05,0.00
10,0.3119,5.8611,37.66,0.00
15,0.1147,6.0911,39.27,0.00
20,0.0594,6.6203,39.94,0.00
25,0.0368,5.3888,39.93,0.00
30,0.0224,4.7080,40.35,0.00
35,0.0195,5.1974,40.23,0.00
40,0.0146,4.5276,40.39,0.00
45,0.0148,4.1713,40.44,0.00
50,0.0112,4.2284,40.47,0.00
55,0.0126,4.0555,41.32,0.00
60,0.0104,4.2975,41.07,0.00
65,0.0096,3.5485,41.69,0.00
70,0.0109,3.1861,41.92,0.00
75,0.0094,3.2022,42.35,0.00
80,0.0083,3.2540,42.62,0.00
85,0.0078,3.3644,42.79,0.00
90,0.0078,2.9807,43.05,0.00
95,0.0086,2.8967,43.16,0.00
100,0.0075,2.8800,43.48,0.00
