0.5 4.0
Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.9991,4.7811,22.44,18.65
10,0.6275,0.7458,26.68,18.70
15,0.2642,0.3332,29.07,16.15
20,0.0977,0.5644,29.10,16.03
25,0.0508,0.1336,30.02,15.96
30,0.0193,0.1372,30.15,16.16
35,0.0172,0.0940,29.90,15.66
40,0.0107,0.0377,30.09,16.16
45,0.0020,0.0491,30.15,18.20
50,0.0012,0.0404,30.09,16.09
55,0.0007,0.0373,30.17,16.50
60,0.0009,0.0485,30.13,15.36
65,0.0007,0.0420,30.20,15.60
70,0.0006,0.0309,30.16,15.28
75,0.0045,0.0255,30.04,15.98
80,0.0019,0.0299,30.24,16.10
85,0.0004,0.0703,30.26,16.58
90,0.0006,0.0238,30.18,16.05
95,0.0004,0.0228,30.23,15.91
100,0.0006,0.0386,30.19,18.17
