Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7118,3.1939,31.39,0.00
10,0.3488,5.5087,35.94,0.00
15,0.1172,6.7051,37.56,0.00
20,0.0597,5.9092,38.15,0.00
25,0.0341,5.3993,38.85,0.00
30,0.0238,4.7655,38.64,0.00
35,0.0244,4.9462,38.56,0.00
40,0.0160,3.9742,38.76,0.00
45,0.0161,3.7673,38.81,0.00
50,0.0126,3.8585,39.16,0.00
55,0.0128,3.6624,39.30,0.00
60,0.0097,3.6196,39.88,0.00
65,0.0107,3.5905,40.22,0.00
70,0.0106,3.6500,40.44,0.00
75,0.0103,3.3507,40.80,0.00
80,0.0084,3.1892,41.22,0.00
85,0.0091,3.0955,41.26,0.00
90,0.0088,3.0103,41.73,0.00
95,0.0067,2.8898,42.03,0.00
100,0.0078,2.7484,42.39,0.00
