Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7733,2.4728,35.77,0.00
10,0.2927,4.2028,41.13,0.00
15,0.1536,6.5777,43.36,0.00
20,0.0546,5.7034,43.24,0.00
25,0.0310,4.9215,43.13,0.00
30,0.0225,3.9680,43.06,0.00
35,0.0166,4.0934,43.26,0.00
40,0.0153,4.4594,43.40,0.00
45,0.0133,3.5916,43.99,0.00
50,0.0136,3.9033,44.20,0.00
55,0.0123,3.7713,44.54,0.00
60,0.0112,3.2210,44.76,0.00
65,0.0098,3.2470,45.08,0.00
70,0.0100,3.0985,45.41,0.00
75,0.0085,3.3126,45.62,0.00
80,0.0093,3.0543,46.14,0.00
85,0.0098,3.0369,45.97,0.00
90,0.0079,2.4767,46.11,0.00
95,0.0070,2.5615,46.51,0.00
100,0.0080,2.6431,46.93,0.00
