Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7138,3.0217,31.29,0.00
10,0.3227,4.8020,36.42,0.00
15,0.1544,6.0450,38.54,0.00
20,0.0655,6.3737,38.15,0.00
25,0.0325,5.8289,38.51,0.00
30,0.0225,4.8130,37.96,0.00
35,0.0182,4.7060,38.64,0.00
40,0.0176,4.4013,38.77,0.00
45,0.0147,4.1918,39.11,0.00
50,0.0122,3.7431,39.39,0.00
55,0.0130,3.4172,39.11,0.00
60,0.0109,3.7204,39.52,0.00
65,0.0088,3.3378,40.11,0.00
70,0.0101,3.3431,39.96,0.00
75,0.0098,2.8330,40.25,0.00
80,0.0084,3.0844,40.80,0.00
85,0.0087,3.0337,41.13,0.00
90,0.0088,3.2030,41.19,0.00
95,0.0075,2.8037,41.48,0.00
100,0.0096,2.9884,41.68,0.00
