Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.8413,2.4823,34.50,0.00
10,0.3542,3.6138,39.33,0.00
15,0.0841,5.7100,41.54,0.00
20,0.0452,5.8812,42.33,0.00
25,0.0261,4.6454,42.09,0.00
30,0.0276,4.8879,42.25,0.00
35,0.0182,4.4054,42.02,0.00
40,0.0154,4.7592,42.35,0.00
45,0.0151,3.8286,42.63,0.00
50,0.0135,3.5825,43.04,0.00
55,0.0153,3.3184,43.18,0.00
60,0.0088,3.1391,43.95,0.00
65,0.0090,3.3386,43.95,0.00
70,0.0106,3.2756,44.37,0.00
75,0.0099,2.7905,44.58,0.00
80,0.0080,3.0157,45.17,0.00
85,0.0078,2.7874,45.64,0.00
90,0.0083,2.4930,46.00,0.00
95,0.0081,2.4934,46.38,0.00
100,0.0071,2.5720,46.76,0.00
