Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7935,2.7403,35.12,0.00
10,0.3267,4.0741,41.29,0.00
15,0.1171,6.3210,42.42,0.00
20,0.0536,5.2760,42.94,0.00
25,0.0443,5.2118,42.48,0.00
30,0.0275,5.4229,42.45,0.00
35,0.0216,4.6252,42.78,0.00
40,0.0228,4.1986,42.86,0.00
45,0.0163,4.1453,43.13,0.00
50,0.0122,4.0274,43.43,0.00
55,0.0123,3.7046,43.78,0.00
60,0.0134,3.7707,43.55,0.00
65,0.0130,3.7405,43.62,0.00
70,0.0099,3.2572,44.40,0.00
75,0.0109,3.4282,44.18,0.00
80,0.0068,3.2492,45.16,0.00
85,0.0091,2.6948,44.99,0.00
90,0.0094,2.8819,45.19,0.00
95,0.0085,2.9703,45.38,0.00
100,0.0072,2.7976,45.71,0.00
