Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.8365,2.4037,36.02,0.00
10,0.3421,3.5739,42.03,0.00
15,0.1086,5.7195,43.91,0.00
20,0.0599,5.8855,43.93,0.00
25,0.0308,5.2670,44.30,0.00
30,0.0224,4.3219,44.04,0.00
35,0.0195,4.4156,44.41,0.00
40,0.0147,3.8994,44.37,0.00
45,0.0146,3.5505,44.77,0.00
50,0.0123,4.1015,45.41,0.00
55,0.0119,3.2690,45.40,0.00
60,0.0114,3.2725,45.44,0.00
65,0.0104,3.2288,46.00,0.00
70,0.0102,2.9934,46.24,0.00
75,0.0100,3.3176,46.60,0.00
80,0.0085,3.0559,46.58,0.00
85,0.0103,2.6764,46.89,0.00
90,0.0082,2.7945,47.71,0.00
95,0.0074,2.7058,47.64,0.00
100,0.0072,2.3864,47.93,0.00
